date,_TYPE_,_FREQ_,total_volume
,0,2255209,3190753120
01/10/2005,1,96,42864
01/11/2005,1,128,58462
01/12/2005,1,120,44685
01/13/2005,1,79,47411
01/14/2005,1,74,68372
01/18/2005,1,86,42185
01/19/2005,1,50,19755
01/20/2005,1,67,21814
01/21/2005,1,124,71296
01/24/2005,1,62,21565
01/25/2005,1,167,149429
01/26/2005,1,69,24053
01/27/2005,1,68,15376
01/28/2005,1,56,23049
01/31/2005,1,122,56895
02/01/2005,1,52,10712
02/02/2005,1,61,23015
02/03/2005,1,38,8841
02/04/2005,1,83,37758
02/07/2005,1,59,13505
02/08/2005,1,55,23403
02/09/2005,1,105,34328
02/10/2005,1,76,23895
02/11/2005,1,104,59692
02/14/2005,1,64,27384
02/15/2005,1,61,16328
02/16/2005,1,83,28685
02/17/2005,1,72,26755
02/18/2005,1,73,47239
02/22/2005,1,119,90134
02/23/2005,1,67,16342
02/24/2005,1,71,24976
02/25/2005,1,95,53816
02/28/2005,1,57,19211
03/01/2005,1,69,18795
03/02/2005,1,109,52502
03/03/2005,1,82,44664
03/04/2005,1,116,51331
03/07/2005,1,103,26315
03/08/2005,1,72,26869
03/09/2005,1,97,21780
03/10/2005,1,93,47398
03/11/2005,1,82,25086
03/14/2005,1,113,30625
03/15/2005,1,102,29918
03/16/2005,1,114,49683
03/17/2005,1,115,62975
03/18/2005,1,84,42472
03/21/2005,1,84,25488
03/22/2005,1,120,39321
03/23/2005,1,91,61082
03/24/2005,1,69,29738
03/28/2005,1,55,13718
03/29/2005,1,89,28534
03/30/2005,1,109,51281
03/31/2005,1,108,53777
04/01/2005,1,132,75646
04/04/2005,1,190,144677
04/05/2005,1,132,47592
04/06/2005,1,88,43250
04/07/2005,1,74,19419
04/08/2005,1,115,54246
04/11/2005,1,77,45741
04/12/2005,1,103,18792
04/13/2005,1,71,20915
04/14/2005,1,151,103978
04/15/2005,1,133,45039
04/18/2005,1,144,51842
04/19/2005,1,55,10682
04/20/2005,1,108,25614
04/21/2005,1,109,24733
04/22/2005,1,83,32586
04/25/2005,1,84,13952
04/26/2005,1,135,56265
04/27/2005,1,91,38409
04/28/2005,1,81,20996
04/29/2005,1,90,55942
05/02/2005,1,83,50084
05/03/2005,1,118,41038
05/04/2005,1,108,46185
05/05/2005,1,120,55098
05/06/2005,1,77,27559
05/09/2005,1,108,26962
05/10/2005,1,88,42375
05/11/2005,1,133,77518
05/12/2005,1,130,20060
05/13/2005,1,87,52701
05/16/2005,1,91,46889
05/17/2005,1,86,36334
05/18/2005,1,79,25394
05/19/2005,1,101,46227
05/20/2005,1,85,35589
05/23/2005,1,86,35313
05/24/2005,1,109,21705
05/25/2005,1,90,25317
05/26/2005,1,86,25083
05/27/2005,1,73,45570
05/31/2005,1,74,28542
06/01/2005,1,91,49623
06/02/2005,1,70,16390
06/03/2005,1,62,8562
06/06/2005,1,73,15246
06/07/2005,1,75,24337
06/08/2005,1,73,22356
06/09/2005,1,97,45991
06/10/2005,1,60,25237
06/13/2005,1,85,36358
06/14/2005,1,92,33977
06/15/2005,1,84,44921
06/16/2005,1,96,739991
06/17/2005,1,110,39741
06/20/2005,1,45,5050
06/21/2005,1,60,17338
06/22/2005,1,92,43838
06/23/2005,1,66,13570
06/24/2005,1,93,36283
06/27/2005,1,67,18825
06/28/2005,1,56,22009
06/29/2005,1,38,10187
06/30/2005,1,80,69782
07/01/2005,1,67,18879
07/05/2005,1,84,27952
07/06/2005,1,82,13575
07/07/2005,1,154,55664
07/08/2005,1,90,90182
07/11/2005,1,88,55745
07/12/2005,1,79,32346
07/13/2005,1,66,30199
07/14/2005,1,90,36765
07/15/2005,1,69,103979
07/18/2005,1,82,71863
07/19/2005,1,82,28010
07/20/2005,1,111,116745
07/21/2005,1,100,44285
07/22/2005,1,68,36537
07/25/2005,1,87,21568
07/26/2005,1,51,18493
07/27/2005,1,59,21607
07/28/2005,1,79,34638
07/29/2005,1,72,14177
08/01/2005,1,84,14214
08/02/2005,1,86,19699
08/03/2005,1,77,16805
08/04/2005,1,66,17271
08/05/2005,1,80,18940
08/08/2005,1,67,24636
08/09/2005,1,81,34491
08/10/2005,1,75,43090
08/11/2005,1,57,30500
08/12/2005,1,74,45687
08/15/2005,1,65,23794
08/16/2005,1,68,34415
08/17/2005,1,81,41955
08/18/2005,1,79,30401
08/19/2005,1,82,49892
08/22/2005,1,110,60916
08/23/2005,1,77,44064
08/24/2005,1,80,48890
08/25/2005,1,76,47594
08/26/2005,1,127,55843
08/29/2005,1,105,36500
08/30/2005,1,113,42135
08/31/2005,1,122,75258
09/01/2005,1,75,50565
09/02/2005,1,71,21174
09/06/2005,1,104,41172
09/07/2005,1,88,36845
09/08/2005,1,80,24367
09/09/2005,1,92,51912
09/12/2005,1,73,36137
09/13/2005,1,99,75449
09/14/2005,1,76,54613
09/15/2005,1,118,1419487
09/16/2005,1,94,97753
09/19/2005,1,84,55377
09/20/2005,1,130,69751
09/21/2005,1,124,71840
09/22/2005,1,114,58688
09/23/2005,1,87,35823
09/26/2005,1,75,27262
09/27/2005,1,102,24454
09/28/2005,1,79,21873
09/29/2005,1,98,55550
09/30/2005,1,102,23830
10/03/2005,1,98,21470
10/04/2005,1,101,40303
10/05/2005,1,133,89909
10/06/2005,1,149,121808
10/07/2005,1,91,48955
10/10/2005,1,83,27240
10/11/2005,1,124,49144
10/12/2005,1,144,119875
10/13/2005,1,130,77848
10/14/2005,1,107,68292
10/17/2005,1,88,41889
10/18/2005,1,88,67797
10/19/2005,1,114,98860
10/20/2005,1,119,150143
10/21/2005,1,129,97070
10/24/2005,1,149,145818
10/25/2005,1,116,100345
10/26/2005,1,133,57991
10/27/2005,1,94,62033
10/28/2005,1,102,44612
10/31/2005,1,102,61649
11/01/2005,1,88,34453
11/02/2005,1,114,109030
11/03/2005,1,109,52942
11/04/2005,1,87,55049
11/07/2005,1,80,54926
11/08/2005,1,70,23683
11/09/2005,1,80,50923
11/10/2005,1,88,87764
11/11/2005,1,71,56740
11/14/2005,1,79,104180
11/15/2005,1,91,47351
11/16/2005,1,99,43958
