Date,Price,P/B,P/S,P/E,P/FCF,P/EBITDA,EV/EBITDA,EV/B,EV/FCF,LTDebt/EV
1/4/2010,20.38,3.8834,4.5439,37.298,41.2562,#N/A N/A,#N/A N/A,3.7757,39.7515,0.8299
1/5/2010,19.93,3.7976,4.4436,36.4744,40.3452,#N/A N/A,#N/A N/A,3.6904,38.8535,0.8491
1/6/2010,19.68,3.75,4.3878,36.0169,39.8391,#N/A N/A,#N/A N/A,3.643,38.3547,0.8602
1/7/2010,19.67,3.7481,4.3856,35.9986,39.8189,#N/A N/A,#N/A N/A,3.6411,38.3347,0.8606
1/8/2010,19.79,3.771,4.4124,36.2182,40.0618,#N/A N/A,#N/A N/A,3.6639,38.5742,0.8553
1/11/2010,18.98,3.6166,4.2318,34.7358,38.4221,#N/A N/A,#N/A N/A,3.5312,37.1777,0.8874
1/12/2010,19.56,3.7271,4.3611,35.7973,39.5962,#N/A N/A,#N/A N/A,3.6418,38.3418,0.8604
1/13/2010,19.95,3.8015,4.448,36.511,40.3857,#N/A N/A,#N/A N/A,3.7162,39.1245,0.8432
1/14/2010,19.3,3.6776,4.3031,35.3215,39.0699,#N/A N/A,#N/A N/A,3.5922,37.82,0.8723
1/15/2010,19.12,3.6433,4.263,34.992,38.7055,#N/A N/A,#N/A N/A,3.5579,37.4587,0.8807
1/19/2010,19.83,3.7786,4.4213,36.2914,40.1428,#N/A N/A,#N/A N/A,3.6933,38.8837,0.8485
1/20/2010,19.71,3.7557,4.3945,36.0718,39.8999,#N/A N/A,#N/A N/A,3.6704,38.6429,0.8537
1/21/2010,19.09,3.6376,4.2563,34.9371,38.6448,#N/A N/A,#N/A N/A,3.5522,37.3985,0.8821
1/22/2010,18.24,3.4756,4.0668,33.3815,36.9241,#N/A N/A,#N/A N/A,3.3902,35.6926,0.9243
1/25/2010,17.93,3.4165,3.9977,32.8142,36.2965,#N/A N/A,#N/A N/A,3.3311,35.0704,0.9407
1/26/2010,17.95,3.4204,4.0021,32.8508,36.337,#N/A N/A,#N/A N/A,3.3349,35.1105,0.9396
1/27/2010,17.88,3.407,3.9865,32.7227,36.1953,#N/A N/A,#N/A N/A,3.3215,34.97,0.9434
1/28/2010,17.17,3.2717,3.8282,31.4233,34.758,#N/A N/A,#N/A N/A,3.1862,33.545,0.9835
1/29/2010,16.46,3.1364,3.6699,30.1239,33.3208,#N/A N/A,#N/A N/A,3.0509,32.1201,1.0271
2/1/2010,16.85,3.2108,3.7569,30.8376,34.1102,#N/A N/A,#N/A N/A,3.1252,32.9028,1.0027
2/2/2010,17.47,3.3289,3.8951,31.9723,35.3653,#N/A N/A,#N/A N/A,3.2434,34.1472,0.9661
2/3/2010,16.95,3.2298,3.7792,31.0207,34.3127,#N/A N/A,#N/A N/A,3.1443,33.1035,0.9966
2/4/2010,16.63,3.1688,3.7078,30.435,33.6649,#N/A N/A,#N/A N/A,3.0833,32.4613,1.0163
2/5/2010,16.65,3.1726,3.7123,30.4716,33.7054,#N/A N/A,#N/A N/A,3.0871,32.5014,1.0151
2/8/2010,16.66,3.1746,3.7145,30.4899,33.7256,#N/A N/A,#N/A N/A,3.089,32.5215,1.0144
2/9/2010,16.72,3.186,3.7279,30.5997,33.8471,#N/A N/A,#N/A N/A,3.1004,32.6419,1.0107
2/10/2010,16.69,3.1803,3.7212,30.5448,33.7864,#N/A N/A,#N/A N/A,3.0947,32.5817,1.0126
2/11/2010,16.77,3.1955,3.739,30.6912,33.9483,#N/A N/A,#N/A N/A,3.1099,32.7422,1.0076
2/12/2010,16.9,3.2203,3.768,30.9292,34.2115,#N/A N/A,#N/A N/A,3.1347,33.0032,0.9996
2/16/2010,17.38,3.3117,3.875,31.8076,35.1832,#N/A N/A,#N/A N/A,3.2262,33.9665,0.9713
2/17/2010,17.95,3.4204,4.0021,32.8508,36.337,#N/A N/A,#N/A N/A,3.3349,35.1105,0.9396
2/18/2010,18.32,3.4909,4.0846,33.5279,37.086,#N/A N/A,#N/A N/A,3.4054,35.8531,0.9202
2/19/2010,18.45,3.5156,4.1136,33.7659,37.3492,#N/A N/A,#N/A N/A,3.4302,36.114,0.9135
2/22/2010,18.25,3.4775,4.069,33.3998,36.9443,#N/A N/A,#N/A N/A,3.3921,35.7126,0.9238
2/23/2010,17.93,3.4165,3.9977,32.8142,36.2965,#N/A N/A,#N/A N/A,3.3311,35.0704,0.9407
2/24/2010,18.02,3.4337,4.0177,32.9789,36.4787,#N/A N/A,#N/A N/A,3.3482,35.251,0.9359
2/25/2010,17.91,3.4127,3.9932,32.7776,36.2561,#N/A N/A,#N/A N/A,3.3273,35.0302,0.9418
2/26/2010,17.89,3.3199,3.8744,31.8038,27.9345,#N/A N/A,#N/A N/A,3.1857,26.6516,0.5581
3/1/2010,18.51,3.435,4.0086,32.906,28.9026,#N/A N/A,#N/A N/A,3.3006,27.6134,0.5386
3/2/2010,18.82,3.4925,4.0758,33.4571,29.3867,#N/A N/A,#N/A N/A,3.3581,28.0944,0.5294
3/3/2010,18.54,3.4406,4.0151,32.9593,28.9494,#N/A N/A,#N/A N/A,3.3062,27.66,0.5377
3/4/2010,18.84,3.4962,4.0801,33.4926,29.4179,#N/A N/A,#N/A N/A,3.3618,28.1254,0.5288
3/5/2010,19.215,3.5658,4.1613,34.1593,30.0034,#N/A N/A,#N/A N/A,3.4314,28.7071,0.5181
3/8/2010,19.29,3.5798,4.1776,34.2926,30.1205,#N/A N/A,#N/A N/A,3.4453,28.8235,0.516
3/9/2010,19.39,3.5983,4.1992,34.4704,30.2767,#N/A N/A,#N/A N/A,3.4638,28.9786,0.5132
3/10/2010,19.49,3.6169,4.2209,34.6481,30.4328,#N/A N/A,#N/A N/A,3.4823,29.1337,0.5105
3/11/2010,19.7,3.6558,4.2664,35.0215,30.7607,#N/A N/A,#N/A N/A,3.5213,29.4595,0.5049
3/12/2010,19.83,3.68,4.2945,35.2526,30.9637,#N/A N/A,#N/A N/A,3.5454,29.6612,0.5014
3/15/2010,19.73,3.6614,4.2729,35.0748,30.8076,#N/A N/A,#N/A N/A,3.5268,29.5061,0.5041
3/16/2010,19.88,3.6892,4.3053,35.3415,31.0418,#N/A N/A,#N/A N/A,3.5547,29.7388,0.5001
3/17/2010,20.08,3.7264,4.3487,35.697,31.3541,#N/A N/A,#N/A N/A,3.5917,30.049,0.495
3/18/2010,20.06,3.7226,4.3443,35.6615,31.3229,#N/A N/A,#N/A N/A,3.588,30.018,0.4955
3/19/2010,20.01,3.7134,4.3335,35.5726,31.2448,#N/A N/A,#N/A N/A,3.5788,29.9404,0.4968
3/22/2010,20.42,3.7895,4.4223,36.3014,31.885,#N/A N/A,#N/A N/A,3.6548,30.5765,0.4864
3/23/2010,20.5,3.8043,4.4396,36.4437,32.0099,#N/A N/A,#N/A N/A,3.6696,30.7006,0.4845
3/24/2010,20.16,3.7412,4.366,35.8392,31.479,#N/A N/A,#N/A N/A,3.6066,30.1731,0.4929
3/25/2010,19.8,3.6744,4.288,35.1992,30.9169,#N/A N/A,#N/A N/A,3.5398,29.6146,0.5022
3/26/2010,19.94,3.7004,4.3183,35.4481,31.1355,#N/A N/A,#N/A N/A,3.5658,29.8318,0.4986
3/29/2010,19.82,3.6781,4.2924,35.2348,30.9481,#N/A N/A,#N/A N/A,3.5435,29.6457,0.5017
3/30/2010,19.87,3.6874,4.3032,35.3237,31.0262,#N/A N/A,#N/A N/A,3.5528,29.7232,0.5004
3/31/2010,19.58,3.6336,4.2404,34.8081,30.5734,#N/A N/A,#N/A N/A,3.499,29.2734,0.5081
4/1/2010,19.21,3.5649,4.1602,34.1504,29.9956,#N/A N/A,#N/A N/A,3.4304,28.6994,0.5182
4/5/2010,19.09,3.5426,4.1343,33.9371,29.8082,#N/A N/A,#N/A N/A,3.4082,28.5132,0.5216
4/6/2010,19.74,3.6633,4.275,35.0926,30.8232,#N/A N/A,#N/A N/A,3.5287,29.5216,0.5038
4/7/2010,20.15,3.7393,4.3638,35.8215,31.4634,#N/A N/A,#N/A N/A,3.6047,30.1576,0.4932
4/8/2010,20.85,3.8692,4.5154,37.0659,32.5564,#N/A N/A,#N/A N/A,3.7396,31.2856,0.4754
4/9/2010,22.41,4.1587,4.8533,39.8392,34.9923,#N/A N/A,#N/A N/A,4.0292,33.7088,0.4412
4/12/2010,22.38,4.1532,4.8468,39.7858,34.9454,#N/A N/A,#N/A N/A,4.0236,33.6622,0.4418
4/13/2010,21.96,4.0752,4.7558,39.0392,34.2896,#N/A N/A,#N/A N/A,3.9457,33.0098,0.4506
4/14/2010,22.09,4.0994,4.784,39.2703,34.4926,#N/A N/A,#N/A N/A,3.9698,33.2118,0.4478
4/15/2010,21.74,4.0344,4.7082,38.6481,33.9461,#N/A N/A,#N/A N/A,3.9048,32.6681,0.4553
4/16/2010,21.44,3.9787,4.6432,38.1147,33.4777,#N/A N/A,#N/A N/A,3.8491,32.2021,0.4619
4/19/2010,21.2,3.9342,4.5912,37.6881,33.1029,#N/A N/A,#N/A N/A,3.8045,31.8293,0.4673
4/20/2010,21.62,4.0121,4.6822,38.4347,33.7587,#N/A N/A,#N/A N/A,3.8825,32.4817,0.4579
4/21/2010,21.58,4.0047,4.6735,38.3636,33.6963,#N/A N/A,#N/A N/A,3.8751,32.4196,0.4588
4/22/2010,21.4,3.9713,4.6345,38.0436,33.4152,#N/A N/A,#N/A N/A,3.8417,32.14,0.4628
4/23/2010,21.61,4.0103,4.68,38.417,33.7431,#N/A N/A,#N/A N/A,3.8807,32.4662,0.4581
4/26/2010,21.49,3.988,4.654,38.2036,33.5557,#N/A N/A,#N/A N/A,3.8584,32.2798,0.4608
4/27/2010,21.25,3.9435,4.602,37.777,33.181,#N/A N/A,#N/A N/A,3.8138,31.907,0.4661
4/28/2010,21.04,3.9045,4.5566,37.4036,32.8531,#N/A N/A,#N/A N/A,3.7748,31.5808,0.4709
4/29/2010,20.55,3.8136,4.4504,36.5326,32.088,#N/A N/A,#N/A N/A,3.6839,30.8196,0.4826
4/30/2010,20.14,3.7375,4.3617,35.8037,31.4478,#N/A N/A,#N/A N/A,3.6077,30.1828,0.4928
5/3/2010,20.22,3.7523,4.379,35.9459,31.5727,#N/A N/A,#N/A N/A,3.6226,30.307,0.4907
5/4/2010,19.39,3.5983,4.1992,34.4704,30.2767,#N/A N/A,#N/A N/A,3.4685,29.0178,0.5125
5/5/2010,19.16,3.5556,4.1494,34.0615,29.9175,#N/A N/A,#N/A N/A,3.4258,28.6605,0.5189
5/6/2010,18.65,3.461,4.039,33.1548,29.1212,#N/A N/A,#N/A N/A,3.3311,27.8683,0.5337
5/7/2010,18.59,3.4498,4.026,33.0482,29.0275,#N/A N/A,#N/A N/A,3.3199,27.7751,0.5355
5/10/2010,19.37,3.5946,4.1949,34.4348,30.2455,#N/A N/A,#N/A N/A,3.4648,28.9867,0.5131
5/11/2010,19.57,3.6317,4.2382,34.7904,30.5577,#N/A N/A,#N/A N/A,3.5019,29.2974,0.5077
5/12/2010,20.35,3.7765,4.4071,36.177,31.7757,#N/A N/A,#N/A N/A,3.6467,30.509,0.4875
5/13/2010,20.21,3.7505,4.3768,35.9281,31.5571,#N/A N/A,#N/A N/A,3.6207,30.2915,0.491
5/14/2010,19.64,3.6447,4.2534,34.9148,30.6671,#N/A N/A,#N/A N/A,3.5149,29.4061,0.5058
5/17/2010,20.19,3.7468,4.3725,35.8926,31.5259,#N/A N/A,#N/A N/A,3.617,30.2604,0.4915
5/18/2010,19.74,3.6633,4.275,35.0926,30.8232,#N/A N/A,#N/A N/A,3.5335,29.5614,0.5031
5/19/2010,19.74,3.6633,4.275,35.0926,30.8232,#N/A N/A,#N/A N/A,3.5335,29.5614,0.5031
5/20/2010,18.98,3.5222,4.1104,33.7415,29.6365,#N/A N/A,#N/A N/A,3.3924,28.3809,0.524
5/21/2010,19.04,3.5334,4.1234,33.8482,29.7302,#N/A N/A,#N/A N/A,3.4035,28.4741,0.5223
5/24/2010,18.86,3.5,4.0844,33.5282,29.4491,#N/A N/A,#N/A N/A,3.3701,28.1945,0.5275
5/25/2010,18.63,3.4573,4.0346,33.1193,29.09,#N/A N/A,#N/A N/A,3.3274,27.8372,0.5343
5/26/2010,18.65,3.461,4.039,33.1548,29.1212,#N/A N/A,#N/A N/A,3.3311,27.8683,0.5337
5/27/2010,19.1,3.5445,4.1364,33.9548,29.8239,#N/A N/A,#N/A N/A,3.4146,28.5673,0.5206
5/28/2010,18.81,3.4907,4.0736,33.4393,29.371,#N/A N/A,#N/A N/A,3.3608,28.1168,0.529
6/1/2010,18.29,3.3942,3.961,32.5149,28.5591,#N/A N/A,#N/A N/A,3.2642,27.3091,0.5446
6/2/2010,19.44,3.6076,4.2101,34.5593,30.3548,#N/A N/A,#N/A N/A,3.4778,29.0954,0.5112
6/3/2010,19.74,3.6633,4.275,35.0926,30.8232,#N/A N/A,#N/A N/A,3.5335,29.5614,0.5031
6/4/2010,18.9425,3.5153,4.1023,33.6748,29.5779,#N/A N/A,#N/A N/A,3.3854,28.3226,0.5251
6/7/2010,18.67,3.4647,4.0433,33.1904,29.1524,#N/A N/A,#N/A N/A,3.3348,27.8994,0.5331
6/8/2010,18.42,3.4183,3.9892,32.746,28.7621,#N/A N/A,#N/A N/A,3.2884,27.511,0.5406
6/9/2010,16.64,3.088,3.6037,29.5816,25.9827,#N/A N/A,#N/A N/A,2.9579,24.7461,0.601
6/10/2010,17.21,3.1938,3.7271,30.5949,26.8727,#N/A N/A,#N/A N/A,3.0637,25.6315,0.5803
6/11/2010,17.27,3.2049,3.7401,30.7016,26.9664,#N/A N/A,#N/A N/A,3.0749,25.7247,0.5782
6/14/2010,16.9,3.1362,3.66,30.0438,26.3887,#N/A N/A,#N/A N/A,3.0062,25.15,0.5914
6/15/2010,16.8,3.1177,3.6383,29.866,26.2325,#N/A N/A,#N/A N/A,2.9876,24.9946,0.595
6/16/2010,16.6,3.0806,3.595,29.5105,25.9202,#N/A N/A,#N/A N/A,2.9505,24.684,0.6025
6/17/2010,16.27,3.0193,3.5235,28.9238,25.4049,#N/A N/A,#N/A N/A,2.8892,24.1714,0.6153
6/18/2010,16.18,3.0026,3.504,28.7638,25.2644,#N/A N/A,#N/A N/A,2.8725,24.0316,0.6189
6/21/2010,15.84,2.9395,3.4304,28.1594,24.7335,#N/A N/A,#N/A N/A,2.8094,23.5034,0.6328
6/22/2010,16.18,3.0026,3.504,28.7638,25.2644,#N/A N/A,#N/A N/A,2.8725,24.0316,0.6189
6/23/2010,16.08,2.9841,3.4824,28.5861,25.1083,#N/A N/A,#N/A N/A,2.8539,23.8762,0.6229
6/24/2010,16.05,2.9785,3.4759,28.5327,25.0614,#N/A N/A,#N/A N/A,2.8483,23.8296,0.6241
6/25/2010,16.46,3.0546,3.5647,29.2616,25.7016,#N/A N/A,#N/A N/A,2.9245,24.4665,0.6079
6/28/2010,16.45,3.0527,3.5625,29.2438,25.686,#N/A N/A,#N/A N/A,2.9226,24.451,0.6083
