Date,Price,P/S,P/B,P/E,P/FCF,P/EBITDA,EV/EBITDA,EV/B,EV/FCF,LTDebt/EV
1/4/2010,31.77,6.4973,10.4978,38.9373,32.2271,21.3876,20.4425,9.9926,30.8301,0
1/5/2010,32.49,6.6445,10.7357,39.8198,32.9574,21.8723,20.9289,10.2304,31.5637,0
1/6/2010,33.3,6.8102,11.0033,40.8125,33.7791,22.4176,21.4762,10.4978,32.389,0
1/7/2010,33.8,6.9124,11.1685,41.4253,34.2863,22.7542,21.814,10.663,32.8984,0
1/8/2010,34.16,6.986,11.2875,41.8665,34.6515,22.9966,22.0572,10.7819,33.2652,0
1/11/2010,33,6.7488,10.9042,40.4448,33.4748,22.2156,21.2735,10.3988,32.0833,0
1/12/2010,32.255,6.5964,10.658,39.5317,32.7191,21.7141,20.7702,10.1528,31.3243,0
1/13/2010,32.36,6.6179,10.6927,39.6604,32.8256,21.7848,20.8411,10.1874,31.4313,0
1/14/2010,32.315,6.6087,10.6778,39.6053,32.7799,21.7545,20.8107,10.1726,31.3854,0
1/15/2010,31.765,6.4962,10.4961,38.9312,32.222,21.3842,20.4391,9.9909,30.825,0
1/19/2010,31.71,6.485,10.4779,38.8638,32.1662,21.3472,20.402,9.9728,30.769,0
1/20/2010,31.215,6.3838,10.3144,38.2571,31.6641,21.014,20.0676,9.8093,30.2647,0
1/21/2010,30.59,6.2559,10.1078,37.4911,31.0301,20.5932,19.6453,9.6029,29.6279,0
1/22/2010,29.17,5.9655,9.6386,35.7508,29.5897,19.6373,18.686,9.134,28.181,0
1/25/2010,29.715,6.077,9.8187,36.4187,30.1425,20.0042,19.0542,9.314,28.7363,0
1/26/2010,29.6,6.0535,9.7807,36.2778,30.0259,19.9268,18.9765,9.276,28.6192,0
1/27/2010,29.775,6.0893,9.8385,36.4923,30.2034,20.0446,19.0947,9.3338,28.7975,0
1/28/2010,28.25,5.7774,9.3346,34.6232,28.6564,19.0179,18.0645,8.8302,27.2437,0
1/29/2010,25.77,5.2702,8.5152,31.5837,26.1408,17.3484,16.389,8.0112,24.7169,0
2/1/2010,26.38,5.395,8.7167,32.3313,26.7595,17.759,16.8011,8.2126,25.3384,0
2/2/2010,26.96,5.5136,8.9084,33.0422,27.3479,18.1495,17.193,8.4042,25.9293,0
2/3/2010,26.63,5.4461,8.7993,32.6377,27.0131,17.9273,16.9885,8.3042,25.621,0
2/4/2010,26.445,5.4082,8.7382,32.411,26.8255,17.8028,16.8634,8.2431,25.4324,0
2/5/2010,26.52,5.4236,8.763,32.5029,26.9015,17.8533,16.9141,8.2679,25.5088,0
2/8/2010,26.41,5.4011,8.7267,32.3681,26.79,17.7792,16.8398,8.2315,25.3967,0
2/9/2010,26.695,5.4594,8.8208,32.7174,27.0791,17.9711,17.0325,8.3257,25.6873,0
2/10/2010,26.775,5.4757,8.8473,32.8155,27.1602,18.025,17.0866,8.3522,25.7689,0
2/11/2010,27.84,5.6935,9.1992,34.1207,28.2405,18.7419,17.8068,8.7042,26.8552,0
2/12/2010,27.815,5.6884,9.1909,34.0901,28.2152,18.7251,17.7899,8.696,26.8297,0
2/16/2010,28.475,5.8234,9.409,34.899,28.8847,19.1694,18.2363,8.9141,27.5028,0
2/17/2010,29.06,5.943,9.6023,35.616,29.4781,19.5632,18.6319,9.1075,28.0995,0
2/18/2010,28.96,5.9226,9.5692,35.4934,29.3767,19.4959,18.5643,9.0745,27.9975,0
2/19/2010,28.805,5.8909,9.518,35.3034,29.2194,19.3916,18.4595,9.0232,27.8394,0
2/22/2010,28.45,5.8183,9.4007,34.8683,28.8593,19.1526,18.2194,8.9059,27.4773,0
2/23/2010,28.22,5.7713,9.3247,34.5864,28.626,18.9977,18.0638,8.8298,27.2427,0
