date,_TYPE_,_FREQ_,total_volume
,0,2939520,4893334729
01/10/2005,1,69,36908
01/11/2005,1,83,66811
01/12/2005,1,78,59545
01/13/2005,1,62,85383
01/14/2005,1,69,42066
01/18/2005,1,74,75531
01/19/2005,1,57,39390
01/20/2005,1,56,42416
01/21/2005,1,78,86251
01/24/2005,1,71,21514
01/25/2005,1,182,45992
01/26/2005,1,57,24373
01/27/2005,1,65,41049
01/28/2005,1,84,26630
01/31/2005,1,117,82247
02/01/2005,1,66,19694
02/02/2005,1,68,21007
02/03/2005,1,41,32170
02/04/2005,1,68,30505
02/07/2005,1,52,36579
02/08/2005,1,77,31564
02/09/2005,1,133,56117
02/10/2005,1,84,43419
02/11/2005,1,121,67438
02/14/2005,1,66,44819
02/15/2005,1,66,21995
02/16/2005,1,70,27675
02/17/2005,1,75,61437
02/18/2005,1,82,54557
02/22/2005,1,106,81559
02/23/2005,1,100,35368
02/24/2005,1,78,43239
02/25/2005,1,96,37283
02/28/2005,1,71,19387
03/01/2005,1,99,24398
03/02/2005,1,92,42183
03/03/2005,1,91,42182
03/04/2005,1,115,57226
03/07/2005,1,90,64550
03/08/2005,1,81,59961
03/09/2005,1,93,45180
03/10/2005,1,88,47544
03/11/2005,1,108,57642
03/14/2005,1,116,58990
03/15/2005,1,95,27509
03/16/2005,1,111,61584
03/17/2005,1,110,47786
03/18/2005,1,100,172380
03/21/2005,1,89,31233
03/22/2005,1,86,44019
03/23/2005,1,115,113305
03/24/2005,1,81,36834
03/28/2005,1,70,14663
03/29/2005,1,81,65547
03/30/2005,1,98,86252
03/31/2005,1,83,75443
04/01/2005,1,118,64923
04/04/2005,1,162,169663
04/05/2005,1,98,103270
04/06/2005,1,80,50315
04/07/2005,1,65,19823
04/08/2005,1,101,159062
04/11/2005,1,73,100738
04/12/2005,1,84,36058
04/13/2005,1,78,30028
04/14/2005,1,186,297384
04/15/2005,1,132,135564
04/18/2005,1,130,100699
04/19/2005,1,46,16453
04/20/2005,1,98,170793
04/21/2005,1,93,59047
