Date,Price,P/FCF,P/EBITDA,P/E,EV/EBITDA,P/S,P/B,EV/B,EV/FCF,LTDebt/EV
#NAME?,12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.9006,44.5648,#N/A N/A,0
5/20/10,13.55,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.342,50.4853,#N/A N/A,0
5/21/10,13.55,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.342,50.4855,#N/A N/A,0
5/24/10,13.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.2632,50.2945,#N/A N/A,0
5/25/10,12.86,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.2552,47.8499,#N/A N/A,0
5/26/10,13.02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.5072,48.4611,#N/A N/A,0
5/27/10,13,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.4757,48.3845,#N/A N/A,0
5/28/10,12.97,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.4284,48.2699,#N/A N/A,0
6/1/10,12.99,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.4599,48.3463,#N/A N/A,0
6/2/10,13.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.6332,48.7665,#N/A N/A,0
6/3/10,13.93,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.9405,51.9368,#N/A N/A,0
6/4/10,13.31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.9639,49.5686,#N/A N/A,0
6/7/10,13.09,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.6174,48.7283,#N/A N/A,0
6/8/10,12.98,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.4442,48.3081,#N/A N/A,0
6/9/10,13.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.7907,49.1484,#N/A N/A,0
6/10/10,13.22,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.8222,49.2248,#N/A N/A,0
6/11/10,13.25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.8694,49.3394,#N/A N/A,0
6/14/10,13.25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.8694,49.3394,#N/A N/A,0
6/15/10,13.35,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.0269,49.7214,#N/A N/A,0
6/16/10,13.45,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.1844,50.1034,#N/A N/A,0
6/17/10,13.42,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.1372,49.9888,#N/A N/A,0
6/18/10,14.04,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22.1137,52.357,#N/A N/A,0
6/21/10,13.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.846,51.7076,#N/A N/A,0
6/22/10,14.47,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22.791,53.9995,#N/A N/A,0
6/23/10,14.29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22.5075,53.3119,#N/A N/A,0
6/24/10,13.33,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.9954,49.645,#N/A N/A,0
6/25/10,13.3,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.9482,49.5304,#N/A N/A,0
6/28/10,13.74,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.6412,51.2111,#N/A N/A,0
6/29/10,13.71,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.594,51.0965,#N/A N/A,0
6/30/10,13.23,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.894,9.8045,#N/A N/A,0
7/1/10,13.03,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.7294,9.6399,#N/A N/A,0
7/2/10,12.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.5976,9.5082,#N/A N/A,0
7/6/10,12.82,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.5564,9.4671,#N/A N/A,0
7/7/10,12.96,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.6717,9.5823,#N/A N/A,0
7/8/10,13.19,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.8611,9.7716,#N/A N/A,0
7/9/10,13.18,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.8529,9.7634,#N/A N/A,0
7/12/10,13.16,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.8364,9.7469,#N/A N/A,0
7/13/10,12.95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.6635,9.5741,#N/A N/A,0
7/14/10,13,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.7047,9.6152,#N/A N/A,0
7/15/10,12.95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.6635,9.5741,#N/A N/A,0
7/16/10,12.06,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.9306,8.8416,#N/A N/A,0
7/19/10,11.78,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7001,8.6112,#N/A N/A,0
7/20/10,11.68,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.6177,8.5289,#N/A N/A,0
7/21/10,11.46,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.4366,8.3478,#N/A N/A,0
7/22/10,11.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.6342,8.5453,#N/A N/A,0
7/23/10,11.81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7248,8.6359,#N/A N/A,0
7/26/10,11.89,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7906,8.7017,#N/A N/A,0
7/27/10,11.9,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7989,8.7099,#N/A N/A,0
