Date,Price,P/B,P/S,P/E,P/EBITDA,P/FCF,EV/EBITDA,EV/B,EV/FCF,LTDebt/EV
5/19/2010,12,18.9006,,,,,,44.5648,,0
5/20/2010,13.55,21.342,,,,,,50.4853,,0
5/21/2010,13.55,21.342,,,,,,50.4855,,0
5/24/2010,13.5,21.2632,,,,,,50.2945,,0
5/25/2010,12.86,20.2552,,,,,,47.8499,,0
5/26/2010,13.02,20.5072,,,,,,48.4611,,0
5/27/2010,13,20.4757,,,,,,48.3845,,0
5/28/2010,12.97,20.4284,,,,,,48.2699,,0
6/1/2010,12.99,20.4599,,,,,,48.3463,,0
6/2/2010,13.1,20.6332,,,,,,48.7665,,0
6/3/2010,13.93,21.9405,,,,,,51.9368,,0
6/4/2010,13.31,20.9639,,,,,,49.5686,,0
6/7/2010,13.09,20.6174,,,,,,48.7283,,0
6/8/2010,12.98,20.4442,,,,,,48.3081,,0
6/9/2010,13.2,20.7907,,,,,,49.1484,,0
6/10/2010,13.22,20.8222,,,,,,49.2248,,0
6/11/2010,13.25,20.8694,,,,,,49.3394,,0
6/14/2010,13.25,20.8694,,,,,,49.3394,,0
6/15/2010,13.35,21.0269,,,,,,49.7214,,0
6/16/2010,13.45,21.1844,,,,,,50.1034,,0
6/17/2010,13.42,21.1372,,,,,,49.9888,,0
6/18/2010,14.04,22.1137,,,,,,52.357,,0
6/21/2010,13.87,21.846,,,,,,51.7076,,0
6/22/2010,14.47,22.791,,,,,,53.9995,,0
6/23/2010,14.29,22.5075,,,,,,53.3119,,0
6/24/2010,13.33,20.9954,,,,,,49.645,,0
6/25/2010,13.3,20.9482,,,,,,49.5304,,0
6/28/2010,13.74,21.6412,,,,,,51.2111,,0
6/29/2010,13.71,21.594,,,,,,51.0965,,0
6/30/2010,13.23,10.894,,,,,,9.8045,,0
7/1/2010,13.03,10.7294,,,,,,9.6399,,0
7/2/2010,12.87,10.5976,,,,,,9.5082,,0
7/6/2010,12.82,10.5564,,,,,,9.4671,,0
7/7/2010,12.96,10.6717,,,,,,9.5823,,0
7/8/2010,13.19,10.8611,,,,,,9.7716,,0
7/9/2010,13.18,10.8529,,,,,,9.7634,,0
7/12/2010,13.16,10.8364,,,,,,9.7469,,0
7/13/2010,12.95,10.6635,,,,,,9.5741,,0
7/14/2010,13,10.7047,,,,,,9.6152,,0
7/15/2010,12.95,10.6635,,,,,,9.5741,,0
7/16/2010,12.06,9.9306,,,,,,8.8416,,0
7/19/2010,11.78,9.7001,,,,,,8.6112,,0
7/20/2010,11.68,9.6177,,,,,,8.5289,,0
7/21/2010,11.46,9.4366,,,,,,8.3478,,0
7/22/2010,11.7,9.6342,,,,,,8.5453,,0
7/23/2010,11.81,9.7248,,,,,,8.6359,,0
7/26/2010,11.89,9.7906,,,,,,8.7017,,0
7/27/2010,11.9,9.7989,,,,,,8.7099,,0
7/28/2010,11.57,9.5271,,,,,,8.4383,,0
7/29/2010,11.51,9.4777,,,,,,8.3889,,0
7/30/2010,11.89,9.7906,,,,,,8.7017,,0
8/2/2010,11.78,9.7001,,,,,,8.6112,,0
8/3/2010,11.76,9.6836,,,,,,8.5947,,0
8/4/2010,11.83,9.7412,,,,,,8.6523,,0
8/5/2010,11.4,9.3872,,,,,,8.2984,,0
8/6/2010,11.01,9.066,,,,,,7.9774,,0
8/9/2010,11.31,9.3131,,,,,,8.2243,,0
8/10/2010,11.21,9.2307,,,,,,8.142,,0
8/11/2010,10.7,8.8108,,,,,,7.7223,,0
8/12/2010,11.45,9.4283,,,,,,8.3396,,0
8/13/2010,10.58,8.7119,,,,,,7.6235,,0
8/16/2010,10.7,8.8108,,,,,,7.7268,,0
8/17/2010,10.81,8.9013,,,,,,7.8174,,0
8/18/2010,10.65,8.7696,,,,,,7.6856,,0
8/19/2010,10.29,8.4731,,,,,,7.3892,,0
8/20/2010,10.38,8.5473,,,,,,7.4633,,0
8/23/2010,9.89,8.1438,,,,,,7.0598,,0
8/24/2010,9.52,7.8391,,,,,,6.7551,,0
8/25/2010,9.68,7.9709,,,,,,6.8869,,0
8/26/2010,9.25,7.6168,,,,,,6.5328,,0
8/27/2010,9.65,7.9462,,,,,,6.8622,,0
8/30/2010,9.59,7.8967,,,,,,6.8128,,0
8/31/2010,9.41,7.7485,,,,,,6.6646,,0
9/1/2010,9.87,8.1273,,,,,,7.0433,,0
9/2/2010,10.46,8.6131,,,,,,7.5292,,0
9/3/2010,10.89,8.9672,,,,,,7.8832,,0
9/7/2010,10.19,8.3908,,,,,,7.3068,,0
9/8/2010,10.37,8.539,,,,,,7.4551,,0
9/9/2010,11.07,9.1154,,,,,,8.0315,,0
9/10/2010,11.38,9.3707,,,,,,8.2867,,0
9/13/2010,12.09,9.9553,,,,,,8.8714,,0
9/14/2010,11.97,9.8565,,,,,,8.7726,,0
9/15/2010,12.04,9.9142,,,,,,8.8302,,0
9/16/2010,11.87,9.7742,,,,,,8.6902,,0
9/17/2010,11.43,9.4119,,,,,,8.3279,,0
9/20/2010,11.88,9.7824,,,,,,8.6984,,0
9/21/2010,11.48,9.453,,,,,,8.3691,,0
9/22/2010,11.42,9.4036,,,,,,8.3197,,0
9/23/2010,11.03,9.0825,,,,,,7.9985,,0
9/24/2010,11.17,9.1978,,,,,,8.1138,,0
9/27/2010,10.61,8.7366,,,,,,7.6527,,0
9/28/2010,10.81,8.9013,,,,,,7.8174,,0
9/29/2010,11.04,9.0907,,,,,,8.0068,,0
9/30/2010,10.83,8.2991,0.9536,58.2258,20.7835,52.9123,32.5658,7.2504,63.9543,0
10/1/2010,10.91,8.3604,0.9606,58.6559,20.937,53.3032,32.8411,7.3117,64.4951,0
10/4/2010,10.74,8.2301,0.9457,57.7419,20.6108,52.4726,32.256,7.1814,63.346,0
10/5/2010,11.19,8.5749,0.9853,60.1613,21.4743,54.6712,33.8049,7.5263,66.3877,0
10/6/2010,11.07,8.483,0.9747,59.5161,21.244,54.0849,33.3918,7.4343,65.5766,0
10/7/2010,11,8.4293,0.9686,59.1398,21.1097,53.7429,33.1509,7.3807,65.1034,0
10/8/2010,10.88,8.3374,0.958,58.4946,20.8794,53.1566,32.7379,7.2887,64.2923,0
10/11/2010,10.83,8.2991,0.9536,58.2258,20.7835,52.9123,32.5658,7.2504,63.9543,0
10/12/2010,10.79,8.2684,0.9501,58.0108,20.7067,52.7169,32.4281,7.2197,63.6839,0
10/13/2010,10.79,8.2684,0.9501,58.0108,20.7067,52.7169,32.4281,7.2197,63.6839,0
10/14/2010,10.6,8.1228,0.9333,56.9892,20.3421,51.7886,31.7741,7.0741,62.3997,0
10/15/2010,10.52,8.0615,0.9263,56.5591,20.1886,51.3978,31.4988,7.0128,61.8589,0
10/18/2010,10.62,8.1381,0.9351,57.0968,20.3805,51.8863,31.843,7.0895,62.5349,0
10/19/2010,10.61,8.1305,0.9342,57.043,20.3613,51.8375,31.8086,7.0818,62.4673,0
10/20/2010,10.96,8.3987,0.965,58.9247,21.0329,53.5475,33.0132,7.35,64.833,0
10/21/2010,10.87,8.3297,0.9571,58.4409,20.8602,53.1078,32.7034,7.281,64.2247,0
10/22/2010,11.13,8.529,0.98,59.8387,21.3592,54.3781,33.5983,7.4803,65.9821,0
10/25/2010,11.46,8.7818,1.0091,61.6129,21.9925,55.9903,34.7342,7.7332,68.2127,0
10/26/2010,11.49,8.8048,1.0117,61.7742,22.0501,56.1369,34.8374,7.7561,68.4155,0
10/27/2010,11.17,8.5596,0.9835,60.0538,21.436,54.5735,33.736,7.5109,66.2525,0
10/28/2010,10.89,8.345,0.9589,58.5484,20.8986,53.2055,32.7723,7.2964,64.3599,0
10/29/2010,10.78,8.2608,0.9492,57.957,20.6875,52.6681,32.3937,7.2121,63.6164,0
11/1/2010,10.6,8.1228,0.9333,56.9892,20.3421,51.7886,31.7741,7.0741,62.3997,0
11/2/2010,10.52,8.0615,0.9263,56.5591,20.1886,51.3978,31.4988,7.0128,61.8589,0
11/3/2010,10.3,7.8929,0.9069,55.3763,19.7664,50.3229,30.7416,6.8443,60.3719,0
11/4/2010,9.99,7.6554,0.8796,53.7097,19.1715,48.8083,29.6746,6.6067,58.2765,0
11/5/2010,9.98,7.6477,0.8787,53.6559,19.1523,48.7595,29.6402,6.599,58.2089,0
11/8/2010,9.77,7.4868,0.8603,52.5269,18.7493,47.7335,28.9174,6.4381,56.7894,0
11/9/2010,9.63,7.3795,0.8479,51.7742,18.4806,47.0495,28.4355,6.3308,55.8431,0
11/10/2010,9.75,7.4715,0.8585,52.4194,18.7109,47.6358,28.8485,6.4228,56.6542,0
